 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.06E-11
   Max.:          2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -121    -120    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -120    -119    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -119    -118    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -118    -117    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -117    -116    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -116    -115    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -115    -114    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -114    -113    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -113    -112    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -112    -111    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -111    -110    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -110    -109    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -109    -108    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -108    -107    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -107    -106    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -106    -105    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -105    -104    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -104    -103    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -103    -102    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -102    -101    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -101    -100    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
  -100     -99    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -99     -98    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -98     -97    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -97     -96    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -96     -95    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -95     -94    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
   -94     -93    3.92E-01   3.13E-03   1.85E-05   3.69E-09   8.81E-11   3.70E-11
