 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2028  Perigee Altitude =    328.132  Apogee Altitude =   331.665  inc =   51.63
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.93E-06   1.32E-11   1.32E-11   8.44E-10   1.84E-11   9.87E-12
   Max.:          3.49E+02   4.01E-01   2.40E-03   1.93E-07   2.24E-08   1.19E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   5.7     5.8    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   5.8     5.9    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   5.9     6.0    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   6.0     6.1    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.1     6.2    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.2     6.3    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.3     6.4    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.4     6.5    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.5     6.6    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.6     6.7    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.7     6.8    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.8     6.9    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   6.9     7.0    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.0     7.1    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.1     7.2    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.2     7.3    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.3     7.4    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.4     7.5    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.5     7.6    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.6     7.7    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.7     7.8    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.8     7.9    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   7.9     8.0    1.58E+02   3.59E-01   2.40E-03   1.90E-07   1.52E-08   9.24E-09
   8.0     8.1    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.1     8.2    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.2     8.3    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.3     8.4    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.4     8.5    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.5     8.6    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.6     8.7    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.7     8.8    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.8     8.9    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   8.9     9.0    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.0     9.1    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.1     9.2    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.2     9.3    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.3     9.4    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.4     9.5    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.5     9.6    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.6     9.7    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.7     9.8    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.8     9.9    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
   9.9    10.0    1.52E+02   2.65E-01   1.45E-03   1.93E-07   1.46E-08   8.40E-09
  10.0    10.1    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.1    10.2    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.2    10.3    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.3    10.4    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.4    10.5    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.5    10.6    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.6    10.7    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.7    10.8    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.8    10.9    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  10.9    11.0    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.0    11.1    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.1    11.2    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.2    11.3    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.3    11.4    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.4    11.5    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.5    11.6    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.6    11.7    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.7    11.8    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.8    11.9    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  11.9    12.0    1.92E+02   2.74E-01   1.40E-03   1.45E-07   1.67E-08   9.06E-09
  12.0    12.1    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.1    12.2    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.2    12.3    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.3    12.4    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.4    12.5    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.5    12.6    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.6    12.7    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.7    12.8    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.8    12.9    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  12.9    13.0    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.0    13.1    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.1    13.2    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.2    13.3    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.3    13.4    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.4    13.5    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.5    13.6    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
  13.6    13.7    3.49E+02   4.01E-01   1.47E-03   1.77E-07   2.24E-08   1.06E-08
