2026.748,413.000,422.000
2026.751,412.679,421.653
2026.753,412.358,421.303
2026.756,412.037,420.950
2026.759,411.716,420.594
2026.762,411.394,420.235
2026.764,411.072,419.872
2026.767,410.749,419.507
2026.770,410.427,419.139
2026.773,410.104,418.767
2026.775,409.781,418.392
2026.778,409.457,418.014
2026.781,409.132,417.633
2026.784,408.807,417.249
2026.786,408.482,416.862
2026.789,408.156,416.472
2026.792,407.829,416.079
2026.794,407.501,415.684
2026.797,407.171,415.286
2026.800,406.840,414.886
2026.803,406.508,414.485
2026.805,406.174,414.080
2026.808,405.839,413.673
2026.811,405.503,413.263
2026.814,405.166,412.850
2026.816,404.827,412.435
2026.819,404.486,412.018
2026.822,404.143,411.600
2026.825,403.798,411.180
2026.827,403.451,410.757
2026.830,403.104,410.331
2026.833,402.754,409.904
2026.836,402.401,409.475
2026.838,402.045,409.046
2026.841,401.686,408.615
2026.844,401.325,408.182
2026.847,400.961,407.748
2026.849,400.595,407.312
2026.852,400.225,406.875
2026.855,399.851,406.438
2026.857,399.473,406.000
2026.860,399.092,405.562
2026.863,398.706,405.123
2026.866,398.318,404.683
2026.868,397.925,404.242
2026.871,397.528,403.802
2026.874,397.126,403.360
2026.877,396.720,402.919
2026.879,396.309,402.478
2026.882,395.893,402.037
2026.885,395.472,401.596
2026.888,395.047,401.154
2026.890,394.617,400.712
2026.893,394.182,400.269
2026.896,393.741,399.827
2026.899,393.295,399.385
2026.901,392.843,398.943
2026.904,392.386,398.501
2026.907,391.923,398.059
2026.910,391.455,397.616
2026.912,390.982,397.172
2026.915,390.504,396.727
2026.918,390.020,396.281
2026.921,389.531,395.833
2026.923,389.037,395.383
2026.926,388.540,394.931
2026.929,388.038,394.476
2026.931,387.532,394.018
2026.934,387.021,393.556
2026.937,386.507,393.091
2026.940,385.988,392.623
2026.942,385.466,392.152
2026.945,384.940,391.676
2026.948,384.411,391.196
2026.951,383.879,390.712
2026.953,383.344,390.224
2026.956,382.806,389.731
2026.959,382.265,389.234
2026.962,381.721,388.731
2026.964,381.175,388.223
2026.967,380.627,387.708
2026.970,380.077,387.188
2026.973,379.524,386.662
2026.975,378.968,386.129
2026.978,378.409,385.591
2026.981,377.847,385.045
2026.984,377.282,384.493
2026.986,376.715,383.933
2026.989,376.145,383.366
2026.992,375.571,382.792
2026.994,374.994,382.211
2026.997,374.414,381.623
2027.000,373.830,381.025
2027.003,373.244,380.420
2027.005,372.655,379.805
2027.008,372.063,379.182
2027.011,371.466,378.551
2027.014,370.866,377.910
2027.016,370.262,377.261
2027.019,369.654,376.602
2027.022,369.042,375.933
2027.025,368.426,375.255
2027.027,367.806,374.567
2027.030,367.182,373.868
2027.033,366.553,373.159
2027.036,365.919,372.441
2027.038,365.279,371.713
2027.041,364.633,370.974
2027.044,363.982,370.225
2027.047,363.325,369.465
2027.049,362.662,368.694
2027.052,361.993,367.912
2027.055,361.316,367.119
2027.057,360.632,366.315
2027.060,359.940,365.500
2027.063,359.241,364.672
2027.066,358.535,363.832
2027.068,357.820,362.979
2027.071,357.097,362.115
2027.074,356.363,361.238
2027.077,355.620,360.349
2027.079,354.867,359.446
2027.082,354.105,358.530
2027.085,353.331,357.600
2027.088,352.545,356.657
2027.090,351.747,355.701
2027.093,350.936,354.731
2027.096,350.110,353.748
2027.099,349.269,352.750
2027.101,348.414,351.737
2027.104,347.543,350.710
2027.107,346.656,349.667
2027.110,345.750,348.609
2027.112,344.824,347.536
2027.115,343.879,346.449
2027.118,342.911,345.346
2027.121,341.921,344.228
2027.123,340.905,343.094
2027.126,339.863,341.946
2027.129,338.790,340.783
2027.131,337.686,339.607
2027.134,336.548,338.416
2027.137,335.374,337.211
2027.140,334.163,335.992
2027.142,332.913,334.756
2027.145,331.623,333.502
2027.148,330.293,332.229
2027.151,328.921,330.934
2027.153,327.505,329.613
2027.156,326.047,328.264
2027.159,324.544,326.884
2027.162,322.996,325.468
2027.164,321.401,324.015
2027.167,319.758,322.520
2027.170,318.063,320.981
2027.173,316.314,319.391
2027.175,314.509,317.748
2027.178,312.643,316.046
2027.181,310.713,314.281
2027.184,308.714,312.447
2027.186,306.641,310.541
2027.189,304.485,308.553
2027.192,302.241,306.477
2027.194,299.900,304.304
2027.197,297.454,302.025
2027.200,294.890,299.627
2027.203,292.196,297.098
2027.205,289.356,294.423
2027.208,286.352,291.584
2027.211,283.159,288.556
2027.214,279.753,285.313
2027.216,276.101,281.822
2027.219,272.156,278.039
2027.222,267.865,273.913
2027.225,263.153,269.371
2027.227,257.923,264.319
2027.230,252.036,258.620
2027.233,245.294,252.085
2027.236,237.378,244.404
2027.238,227.774,235.086
2027.241,215.527,223.211
2027.244,198.586,206.797
2027.247,171.233,180.296
2027.249,105.350,116.049
2027.252,0.000,0.000
2027.255,0.000,0.000
