 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  1.12E-04   1.52E+00   2.07E-01   2.07E-01
  1.15E-04   1.43E+00   1.99E-01   1.99E-01
  1.17E-04   1.35E+00   1.91E-01   1.91E-01
  1.20E-04   1.27E+00   1.84E-01   1.84E-01
  1.23E-04   1.20E+00   1.77E-01   1.77E-01
  1.26E-04   1.13E+00   1.70E-01   1.70E-01
  1.29E-04   1.07E+00   1.63E-01   1.63E-01
  1.32E-04   1.01E+00   1.57E-01   1.57E-01
  1.35E-04   9.49E-01   1.51E-01   1.51E-01
  1.38E-04   8.95E-01   1.45E-01   1.45E-01
  1.41E-04   8.45E-01   1.40E-01   1.39E-01
  1.45E-04   7.97E-01   1.34E-01   1.34E-01
  1.48E-04   7.53E-01   1.29E-01   1.29E-01
  1.51E-04   7.10E-01   1.24E-01   1.24E-01
  1.55E-04   6.71E-01   1.19E-01   1.19E-01
  1.58E-04   6.33E-01   1.14E-01   1.14E-01
  1.62E-04   5.98E-01   1.10E-01   1.10E-01
  1.66E-04   5.65E-01   1.05E-01   1.05E-01
  1.70E-04   5.33E-01   1.01E-01   1.01E-01
  1.74E-04   5.04E-01   9.73E-02   9.72E-02
  1.78E-04   4.76E-01   9.34E-02   9.33E-02
  1.82E-04   4.50E-01   8.96E-02   8.95E-02
  1.86E-04   4.25E-01   8.60E-02   8.59E-02
  1.91E-04   4.01E-01   8.26E-02   8.24E-02
  1.95E-04   3.79E-01   7.92E-02   7.91E-02
  2.00E-04   3.58E-01   7.60E-02   7.59E-02
  2.04E-04   3.39E-01   7.29E-02   7.28E-02
  2.09E-04   3.20E-01   6.99E-02   6.98E-02
  2.14E-04   3.02E-01   6.70E-02   6.69E-02
  2.19E-04   2.86E-01   6.43E-02   6.41E-02
  2.24E-04   2.70E-01   6.16E-02   6.15E-02
  2.29E-04   2.55E-01   5.91E-02   5.89E-02
  2.34E-04   2.42E-01   5.66E-02   5.65E-02
  2.40E-04   2.28E-01   5.42E-02   5.41E-02
  2.45E-04   2.16E-01   5.20E-02   5.18E-02
  2.51E-04   2.04E-01   4.98E-02   4.96E-02
  2.57E-04   1.93E-01   4.77E-02   4.75E-02
  2.63E-04   1.82E-01   4.56E-02   4.55E-02
  2.69E-04   1.73E-01   4.37E-02   4.36E-02
  2.75E-04   1.63E-01   4.18E-02   4.17E-02
  2.82E-04   1.54E-01   4.01E-02   3.99E-02
  2.88E-04   1.46E-01   3.83E-02   3.82E-02
  2.95E-04   1.38E-01   3.67E-02   3.66E-02
  3.02E-04   1.31E-01   3.51E-02   3.50E-02
  3.09E-04   1.23E-01   3.36E-02   3.35E-02
  3.16E-04   1.17E-01   3.22E-02   3.20E-02
  3.24E-04   1.11E-01   3.12E-02   3.10E-02
  3.31E-04   1.05E-01   3.02E-02   3.01E-02
  3.39E-04   9.93E-02   2.93E-02   2.92E-02
  3.47E-04   9.41E-02   2.84E-02   2.83E-02
  3.55E-04   8.94E-02   2.76E-02   2.75E-02
  3.63E-04   8.49E-02   2.68E-02   2.67E-02
  3.72E-04   8.07E-02   2.61E-02   2.59E-02
  3.80E-04   7.68E-02   2.54E-02   2.52E-02
  3.89E-04   7.31E-02   2.47E-02   2.45E-02
  3.98E-04   6.97E-02   2.40E-02   2.38E-02
  4.07E-04   6.64E-02   2.34E-02   2.32E-02
  4.17E-04   6.33E-02   2.27E-02   2.25E-02
  4.27E-04   6.04E-02   2.21E-02   2.19E-02
  4.37E-04   5.77E-02   2.15E-02   2.13E-02
  4.47E-04   5.51E-02   2.10E-02   2.08E-02
  4.57E-04   5.27E-02   2.04E-02   2.02E-02
  4.68E-04   5.04E-02   1.99E-02   1.97E-02
  4.79E-04   4.82E-02   1.94E-02   1.91E-02
  4.90E-04   4.62E-02   1.89E-02   1.86E-02
  5.01E-04   4.42E-02   1.84E-02   1.81E-02
  5.13E-04   4.23E-02   1.79E-02   1.76E-02
  5.25E-04   4.05E-02   1.74E-02   1.71E-02
  5.37E-04   3.88E-02   1.70E-02   1.67E-02
  5.50E-04   3.72E-02   1.65E-02   1.62E-02
  5.62E-04   3.56E-02   1.60E-02   1.57E-02
  5.75E-04   3.41E-02   1.56E-02   1.53E-02
  5.89E-04   3.27E-02   1.52E-02   1.48E-02
  6.03E-04   3.13E-02   1.47E-02   1.44E-02
  6.17E-04   3.00E-02   1.43E-02   1.40E-02
  6.31E-04   2.87E-02   1.39E-02   1.35E-02
  6.46E-04   2.75E-02   1.35E-02   1.31E-02
  6.61E-04   2.63E-02   1.30E-02   1.27E-02
  6.76E-04   2.51E-02   1.26E-02   1.23E-02
  6.92E-04   2.40E-02   1.22E-02   1.19E-02
  7.08E-04   2.29E-02   1.18E-02   1.14E-02
  7.24E-04   2.19E-02   1.14E-02   1.10E-02
  7.41E-04   2.09E-02   1.10E-02   1.06E-02
  7.59E-04   1.99E-02   1.06E-02   1.02E-02
  7.76E-04   1.89E-02   1.02E-02   9.83E-03
  7.94E-04   1.80E-02   9.79E-03   9.43E-03
  8.13E-04   1.71E-02   9.40E-03   9.04E-03
  8.32E-04   1.62E-02   9.01E-03   8.65E-03
  8.51E-04   1.54E-02   8.63E-03   8.27E-03
  8.71E-04   1.46E-02   8.25E-03   7.89E-03
  8.91E-04   1.38E-02   7.87E-03   7.52E-03
  9.12E-04   1.30E-02   7.50E-03   7.15E-03
  9.33E-04   1.22E-02   7.13E-03   6.79E-03
  9.55E-04   1.15E-02   6.77E-03   6.43E-03
  9.77E-04   1.08E-02   6.41E-03   6.09E-03
  1.00E-03   1.01E-02   6.07E-03   5.75E-03
  1.02E-03   9.44E-03   5.60E-03   5.31E-03
  1.05E-03   8.66E-03   5.09E-03   4.84E-03
  1.07E-03   7.84E-03   4.57E-03   4.35E-03
  1.10E-03   7.00E-03   4.05E-03   3.86E-03
  1.12E-03   6.18E-03   3.54E-03   3.38E-03
  1.15E-03   5.39E-03   3.06E-03   2.93E-03
  1.17E-03   4.65E-03   2.62E-03   2.51E-03
  1.20E-03   3.97E-03   2.22E-03   2.13E-03
  1.23E-03   3.36E-03   1.86E-03   1.79E-03
  1.26E-03   2.81E-03   1.55E-03   1.49E-03
  1.29E-03   2.34E-03   1.28E-03   1.23E-03
  1.32E-03   1.93E-03   1.05E-03   1.01E-03
  1.35E-03   1.59E-03   8.54E-04   8.24E-04
  1.38E-03   1.29E-03   6.92E-04   6.68E-04
  1.41E-03   1.05E-03   5.58E-04   5.40E-04
  1.45E-03   8.50E-04   4.49E-04   4.34E-04
  1.48E-03   6.86E-04   3.60E-04   3.48E-04
  1.51E-03   5.52E-04   2.88E-04   2.79E-04
  1.55E-03   4.44E-04   2.30E-04   2.23E-04
  1.58E-03   3.57E-04   1.84E-04   1.79E-04
  1.62E-03   2.87E-04   1.48E-04   1.43E-04
  1.66E-03   2.31E-04   1.18E-04   1.15E-04
  1.70E-03   1.86E-04   9.52E-05   9.24E-05
  1.74E-03   1.51E-04   7.68E-05   7.46E-05
  1.78E-03   1.23E-04   6.23E-05   6.05E-05
