 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  3.80E-01   5.66E-08   1.38E-08   1.38E-08
  3.89E-01   5.62E-08   1.37E-08   1.37E-08
  3.98E-01   5.58E-08   1.36E-08   1.36E-08
  4.07E-01   5.55E-08   1.36E-08   1.35E-08
  4.17E-01   5.51E-08   1.35E-08   1.35E-08
  4.27E-01   5.47E-08   1.34E-08   1.34E-08
  4.37E-01   5.44E-08   1.33E-08   1.33E-08
  4.47E-01   5.40E-08   1.33E-08   1.32E-08
  4.57E-01   5.37E-08   1.32E-08   1.32E-08
  4.68E-01   5.33E-08   1.31E-08   1.31E-08
  4.79E-01   5.30E-08   1.31E-08   1.30E-08
  4.90E-01   5.26E-08   1.30E-08   1.30E-08
  5.01E-01   5.23E-08   1.29E-08   1.29E-08
  5.13E-01   5.20E-08   1.29E-08   1.28E-08
  5.25E-01   5.17E-08   1.28E-08   1.28E-08
  5.37E-01   5.13E-08   1.28E-08   1.27E-08
  5.50E-01   5.10E-08   1.27E-08   1.27E-08
  5.62E-01   5.07E-08   1.27E-08   1.26E-08
  5.75E-01   5.04E-08   1.26E-08   1.26E-08
  5.89E-01   5.01E-08   1.25E-08   1.25E-08
  6.03E-01   4.98E-08   1.25E-08   1.25E-08
  6.17E-01   4.95E-08   1.25E-08   1.24E-08
  6.31E-01   4.93E-08   1.24E-08   1.24E-08
  6.46E-01   4.90E-08   1.24E-08   1.23E-08
  6.61E-01   4.87E-08   1.23E-08   1.23E-08
  6.76E-01   4.84E-08   1.23E-08   1.22E-08
  6.92E-01   4.82E-08   1.22E-08   1.22E-08
  7.08E-01   4.79E-08   1.22E-08   1.22E-08
  7.24E-01   4.77E-08   1.22E-08   1.21E-08
  7.41E-01   4.74E-08   1.21E-08   1.21E-08
  7.59E-01   4.72E-08   1.21E-08   1.21E-08
  7.76E-01   4.69E-08   1.21E-08   1.20E-08
  7.94E-01   4.67E-08   1.20E-08   1.20E-08
  8.13E-01   4.65E-08   1.20E-08   1.20E-08
  8.32E-01   4.62E-08   1.20E-08   1.19E-08
  8.51E-01   4.60E-08   1.19E-08   1.19E-08
  8.71E-01   4.58E-08   1.19E-08   1.19E-08
  8.91E-01   4.56E-08   1.19E-08   1.19E-08
  9.12E-01   4.54E-08   1.19E-08   1.18E-08
  9.33E-01   4.52E-08   1.18E-08   1.18E-08
  9.55E-01   4.50E-08   1.18E-08   1.18E-08
  9.77E-01   4.48E-08   1.18E-08   1.18E-08
  1.00E+00   4.46E-08   1.18E-08   1.17E-08
