 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.48E-12
   Max.:          9.56E+00   1.30E-02   9.07E-05   7.93E-09   6.54E-10   2.91E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
  -121    -120    6.29E-02   6.09E-04   3.92E-06   8.43E-11   1.10E-11   7.48E-12
  -120    -119    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -119    -118    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -118    -117    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -117    -116    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -116    -115    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -115    -114    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -114    -113    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -113    -112    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -112    -111    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -111    -110    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -110    -109    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -109    -108    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -108    -107    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -107    -106    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -106    -105    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -105    -104    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -104    -103    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -103    -102    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -102    -101    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -101    -100    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
  -100     -99    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -99     -98    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -98     -97    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -97     -96    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -96     -95    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -95     -94    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -94     -93    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -93     -92    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -92     -91    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -91     -90    1.62E-01   1.37E-03   1.04E-05   1.01E-09   5.41E-11   3.15E-11
   -90     -89    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -89     -88    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -88     -87    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -87     -86    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -86     -85    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -85     -84    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -84     -83    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -83     -82    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -82     -81    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -81     -80    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -80     -79    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -79     -78    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -78     -77    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -77     -76    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
