 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
   Max.:          4.85E+02   8.91E-01   3.21E-03   8.47E-07   1.10E-07   4.83E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    1.31E+02   2.78E-01   1.11E-03   3.40E-07   3.24E-08   1.13E-08
   5.7     5.8    1.31E+02   2.78E-01   1.11E-03   3.40E-07   3.24E-08   1.13E-08
   5.8     5.9    1.31E+02   2.78E-01   1.11E-03   3.40E-07   3.24E-08   1.13E-08
   5.9     6.0    1.31E+02   2.78E-01   1.11E-03   3.40E-07   3.24E-08   1.13E-08
   6.0     6.1    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.1     6.2    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.2     6.3    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.3     6.4    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.4     6.5    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.5     6.6    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.6     6.7    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.7     6.8    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.8     6.9    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   6.9     7.0    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.0     7.1    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.1     7.2    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.2     7.3    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.3     7.4    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.4     7.5    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.5     7.6    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.6     7.7    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.7     7.8    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.8     7.9    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   7.9     8.0    2.06E+02   6.48E-01   3.21E-03   4.83E-07   5.19E-08   2.64E-08
   8.0     8.1    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.1     8.2    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.2     8.3    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.3     8.4    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.4     8.5    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.5     8.6    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.6     8.7    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.7     8.8    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.8     8.9    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   8.9     9.0    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.0     9.1    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.1     9.2    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.2     9.3    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.3     9.4    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.4     9.5    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.5     9.6    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.6     9.7    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.7     9.8    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.8     9.9    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
   9.9    10.0    2.03E+02   4.98E-01   2.26E-03   4.70E-07   4.60E-08   2.10E-08
  10.0    10.1    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.1    10.2    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.2    10.3    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.3    10.4    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.4    10.5    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.5    10.6    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.6    10.7    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.7    10.8    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.8    10.9    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  10.9    11.0    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.0    11.1    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.1    11.2    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.2    11.3    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.3    11.4    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.4    11.5    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.5    11.6    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.6    11.7    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.7    11.8    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.8    11.9    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  11.9    12.0    2.60E+02   5.59E-01   2.24E-03   4.55E-07   5.90E-08   2.60E-08
  12.0    12.1    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.1    12.2    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.2    12.3    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.3    12.4    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.4    12.5    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.5    12.6    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.6    12.7    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.7    12.8    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.8    12.9    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  12.9    13.0    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.0    13.1    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.1    13.2    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.2    13.3    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.3    13.4    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.4    13.5    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.5    13.6    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.6    13.7    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
  13.7    13.8    4.85E+02   8.91E-01   3.14E-03   8.47E-07   1.10E-07   4.64E-08
