 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2027  Perigee Altitude =    274.780  Apogee Altitude =   279.999  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          5.45E-02   4.13E-04   2.40E-06   5.27E-11   9.13E-12   6.95E-12
   Max.:          9.21E+00   1.24E-02   8.51E-05   7.47E-09   6.15E-10   2.78E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
  -122    -121    5.90E-02   5.67E-04   3.44E-06   7.86E-11   1.03E-11   7.05E-12
  -121    -120    5.90E-02   5.67E-04   3.44E-06   7.86E-11   1.03E-11   7.05E-12
  -120    -119    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -119    -118    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -118    -117    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -117    -116    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -116    -115    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -115    -114    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -114    -113    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -113    -112    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -112    -111    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -111    -110    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -110    -109    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -109    -108    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -108    -107    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -107    -106    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -106    -105    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -105    -104    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -104    -103    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -103    -102    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -102    -101    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -101    -100    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
  -100     -99    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -99     -98    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -98     -97    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -97     -96    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -96     -95    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -95     -94    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -94     -93    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -93     -92    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -92     -91    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -91     -90    1.51E-01   1.28E-03   9.27E-06   9.39E-10   5.21E-11   3.04E-11
   -90     -89    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -89     -88    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -88     -87    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -87     -86    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -86     -85    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -85     -84    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -84     -83    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -83     -82    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -82     -81    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -81     -80    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -80     -79    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -79     -78    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -78     -77    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -77     -76    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -76     -75    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -75     -74    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -74     -73    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -73     -72    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -72     -71    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -71     -70    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -70     -69    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -69     -68    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -68     -67    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
   -67     -66    4.95E+00   1.16E-02   8.51E-05   7.47E-09   5.17E-10   2.78E-10
