 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  3.80E-01   4.62E-07   9.09E-08   9.08E-08
  3.89E-01   4.59E-07   8.98E-08   8.97E-08
  3.98E-01   4.56E-07   8.87E-08   8.86E-08
  4.07E-01   4.53E-07   8.76E-08   8.75E-08
  4.17E-01   4.50E-07   8.66E-08   8.65E-08
  4.27E-01   4.47E-07   8.56E-08   8.55E-08
  4.37E-01   4.44E-07   8.46E-08   8.45E-08
  4.47E-01   4.41E-07   8.36E-08   8.35E-08
  4.57E-01   4.39E-07   8.27E-08   8.26E-08
  4.68E-01   4.36E-07   8.17E-08   8.16E-08
  4.79E-01   4.33E-07   8.08E-08   8.07E-08
  4.90E-01   4.31E-07   7.99E-08   7.98E-08
  5.01E-01   4.28E-07   7.91E-08   7.90E-08
  5.13E-01   4.25E-07   7.82E-08   7.81E-08
  5.25E-01   4.23E-07   7.74E-08   7.73E-08
  5.37E-01   4.20E-07   7.66E-08   7.65E-08
  5.50E-01   4.18E-07   7.58E-08   7.57E-08
  5.62E-01   4.16E-07   7.51E-08   7.50E-08
  5.75E-01   4.13E-07   7.43E-08   7.43E-08
  5.89E-01   4.11E-07   7.36E-08   7.35E-08
  6.03E-01   4.09E-07   7.29E-08   7.28E-08
  6.17E-01   4.06E-07   7.22E-08   7.22E-08
  6.31E-01   4.04E-07   7.16E-08   7.15E-08
  6.46E-01   4.02E-07   7.09E-08   7.09E-08
  6.61E-01   4.00E-07   7.03E-08   7.03E-08
  6.76E-01   3.98E-07   6.97E-08   6.97E-08
  6.92E-01   3.96E-07   6.92E-08   6.91E-08
  7.08E-01   3.94E-07   6.86E-08   6.85E-08
  7.24E-01   3.92E-07   6.81E-08   6.80E-08
  7.41E-01   3.90E-07   6.75E-08   6.75E-08
  7.59E-01   3.88E-07   6.70E-08   6.70E-08
  7.76E-01   3.86E-07   6.66E-08   6.65E-08
  7.94E-01   3.84E-07   6.61E-08   6.60E-08
  8.13E-01   3.82E-07   6.57E-08   6.56E-08
  8.32E-01   3.81E-07   6.52E-08   6.52E-08
  8.51E-01   3.79E-07   6.48E-08   6.48E-08
  8.71E-01   3.77E-07   6.44E-08   6.44E-08
  8.91E-01   3.76E-07   6.41E-08   6.40E-08
  9.12E-01   3.74E-07   6.37E-08   6.36E-08
  9.33E-01   3.72E-07   6.34E-08   6.33E-08
  9.55E-01   3.71E-07   6.30E-08   6.30E-08
  9.77E-01   3.69E-07   6.27E-08   6.27E-08
  1.00E+00   3.68E-07   6.24E-08   6.24E-08
