 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2027  Perigee Altitude =    274.780  Apogee Altitude =   279.999  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-12   1.04E-12   1.04E-12   2.68E-10   9.73E-12   5.97E-12
   Max.:          1.67E+02   2.00E-01   1.62E-03   9.95E-08   9.48E-09   4.03E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    4.42E+01   6.78E-02   3.61E-04   5.67E-08   4.00E-09   1.78E-09
   5.7     5.8    4.42E+01   6.78E-02   3.61E-04   5.67E-08   4.00E-09   1.78E-09
   5.8     5.9    4.42E+01   6.78E-02   3.61E-04   5.67E-08   4.00E-09   1.78E-09
   5.9     6.0    4.42E+01   6.78E-02   3.61E-04   5.67E-08   4.00E-09   1.78E-09
   6.0     6.1    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.1     6.2    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.2     6.3    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.3     6.4    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.4     6.5    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.5     6.6    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.6     6.7    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.7     6.8    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.8     6.9    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   6.9     7.0    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.0     7.1    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.1     7.2    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.2     7.3    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.3     7.4    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.4     7.5    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.5     7.6    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.6     7.7    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.7     7.8    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.8     7.9    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   7.9     8.0    8.03E+01   1.97E-01   1.62E-03   9.95E-08   7.33E-09   4.03E-09
   8.0     8.1    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.1     8.2    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.2     8.3    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.3     8.4    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.4     8.5    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.5     8.6    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.6     8.7    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.7     8.8    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.8     8.9    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   8.9     9.0    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
   9.0     9.1    7.67E+01   1.48E-01   7.76E-04   9.95E-08   7.19E-09   3.83E-09
